timestamp,pv,mv,sv,kp,ki,kd,pb,ti,td,err_value
1772467241000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467242000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467243000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467244000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467245000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467246000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467247000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467248000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467249000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467250000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467251000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467252000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467253000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467254000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467255000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467256000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467257000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467258000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467259000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467260000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467261000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467262000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467263000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467264000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467265000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467266000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467267000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467268000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467269000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467270000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467271000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467272000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467273000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467274000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467275000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467276000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467277000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467278000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467279000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467280000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467281000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467282000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467283000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467284000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467285000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467286000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467287000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467288000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467289000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467290000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467291000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467292000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467293000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467294000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467295000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467296000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467297000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467298000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467299000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467300000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467301000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467302000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467303000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467304000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467305000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467306000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467307000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467308000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467309000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467310000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467311000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467312000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467313000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467314000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467315000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467316000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467317000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467318000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467319000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467320000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467321000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467322000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467323000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467324000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467325000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467326000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467327000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467328000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467329000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467330000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467331000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467332000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467333000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467334000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467335000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467336000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467337000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467338000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467339000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467340000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467341000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467342000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467343000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467344000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467345000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467346000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467347000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467348000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467349000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467350000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467351000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467352000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467353000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467354000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467355000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467356000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467357000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467358000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467359000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467360000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467361000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467362000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467363000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467364000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467365000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467366000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467367000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467368000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467369000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467370000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467371000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467372000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467373000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467374000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467375000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467376000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467377000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467378000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467379000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467380000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467381000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467382000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467383000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467384000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467385000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467386000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467387000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467388000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467389000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467390000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467391000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467392000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467393000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467394000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467395000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467396000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467397000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467398000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467399000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467400000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467401000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467402000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467403000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467404000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467405000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467406000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467407000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467408000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467409000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467410000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467411000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467412000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467413000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467414000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467415000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467416000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467417000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467418000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467419000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467420000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467421000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467422000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467423000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467424000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467425000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467426000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467427000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467428000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467429000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467430000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467431000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467432000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467433000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467434000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467435000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467436000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467437000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467438000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467439000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467440000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467441000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467442000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467443000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467444000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467445000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467446000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467447000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467448000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467449000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467450000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467451000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467452000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467453000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467454000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467455000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467456000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467457000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467458000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467459000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467460000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467461000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467462000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467463000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467464000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467465000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467466000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467467000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467468000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467469000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467470000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467471000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467472000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467473000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467474000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467475000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467476000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467477000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467478000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467479000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467480000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467481000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467482000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467483000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467484000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467485000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467486000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467487000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467488000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467489000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467490000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467491000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467492000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467493000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467494000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467495000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467496000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467497000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467498000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467499000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467500000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
1772467501000,240.5,0.0,3.2,1.0,0.6,0.17,100.0,1.66,6.0,237.3
